Time On Sample,Displacement Into Surface,Load On Sample,Harmonic Contact Stiffness,Harmonic Displacement,Harmonic Load
27.7,6.133675193,0.108187764,56946.94373,1.470766224,82.10806061
27.8,6.322348539,0.10869251,57438.82592,1.464229495,82.47422117
27.9,6.050541714,0.109234603,57808.72682,1.460743217,82.84582872
28,6.100405342,0.109755088,58190.57261,1.457692736,83.25339965
28.1,6.122839253,0.110280272,58515.5538,1.455513831,83.6184698
28.2,6.366369528,0.110791386,58893.84783,1.454642287,84.13501764
28.3,5.991493358,0.111351778,59087.78746,1.455078043,84.44777764
28.4,6.230866829,0.111868542,59303.56809,1.458128536,84.94144049
28.5,6.375484123,0.112395081,59405.05462,1.460743252,85.24003571
28.6,6.257444668,0.112944093,59535.25594,1.462922151,85.55824555
28.7,5.921632752,0.113512357,59658.99172,1.468587296,86.04863676
28.8,6.381270105,0.114023244,59712.18202,1.472945164,86.3494128
28.9,6.338036536,0.114574759,59821.61141,1.476867209,86.68941817
29,6.357973035,0.115124293,59891.0286,1.4820966,87.05666784
29.1,6.314738586,0.115681347,59909.48178,1.487325987,87.35962132
29.2,6.341323734,0.116235897,60005.59372,1.493426942,87.82821881
29.3,6.131019017,0.116811194,60065.13917,1.497348976,88.13226136
29.4,6.460987962,0.11734842,60096.81437,1.502142607,88.44720379
29.5,6.212447579,0.117932156,60149.93623,1.508679328,88.89836394
29.6,6.449322242,0.11848208,60126.81593,1.513908743,89.16644651
29.7,6.403591547,0.119056134,60090.20658,1.519573913,89.44651448
29.8,6.30050822,0.119637407,60071.90598,1.526982208,89.8758805
29.9,6.648761112,0.120187466,60026.11012,1.533954765,90.23768212
30,6.940492589,0.120744545,59985.77525,1.539184186,90.49922699
30.1,6.464203171,0.121362525,59961.26329,1.544413531,90.77711335
30.2,6.664502705,0.121932401,59997.04895,1.550514509,91.18904459
30.3,6.459180596,0.122535829,59971.98824,1.55574388,91.45821427
30.4,6.589659155,0.123116867,60014.56816,1.559665938,91.75027152
30.5,6.452493761,0.12372108,60168.55045,1.563152185,92.18072594
30.6,6.508995379,0.124313659,60415.62671,1.562280627,92.49784751
30.7,6.469078376,0.124916495,60692.02444,1.560537493,92.80297995
30.8,6.757481322,0.125497517,61249.6149,1.554436567,93.25959161
30.9,6.575429713,0.126117083,61534.23896,1.550950289,93.47536305
31,6.794842858,0.126709314,62363.09445,1.540491529,94.07800276
31.1,6.808120162,0.127320168,62868.83831,1.534390575,94.4561493
31.2,6.966024214,0.12792312,63306.60184,1.529596982,94.81250267
31.3,6.69835801,0.128561257,63951.86739,1.522624435,95.33994546
31.4,6.754855772,0.129178109,64378.29875,1.518266615,95.70065723
31.5,6.90943358,0.129790615,64870.7059,1.514780371,96.21720429
31.6,7.10307688,0.130403231,65095.12495,1.514780391,96.5561216
31.7,7.06814217,0.131036212,65234.3433,1.516523518,96.88195937
31.8,6.797148714,0.131690239,65347.6294,1.520881319,97.3483768
31.9,6.801278953,0.132326725,65407.69609,1.525239146,97.74069013
32,7.274200405,0.132930926,65317.85924,1.531775933,98.04037751
32.1,7.186898644,0.133580564,65223.07466,1.538312665,98.33461201
32.2,7.208482391,0.134225191,65153.61504,1.546592538,98.78904326
32.3,6.887614935,0.134898953,65048.88799,1.553565029,99.08981539
32.4,7.278246437,0.135522244,65018.77446,1.558358678,99.36225808
32.5,7.071251109,0.136193909,65037.44787,1.564459614,99.80796887
32.6,7.269876451,0.136838281,65115.37312,1.567074331,100.1054754
32.7,7.125219403,0.1375118,65180.19516,1.569689013,100.3833634
32.8,7.132669772,0.138177195,65321.29571,1.573175276,100.8356148
32.9,7.212433225,0.13884047,65461.80624,1.575789981,101.2257493
33,7.431005053,0.139496545,65679.02742,1.575354221,101.5472306
33.1,7.167485568,0.140192407,65951.3043,1.574046848,101.8926831
33.2,7.198207146,0.140869496,66440.20561,1.569689025,102.3939739
33.3,7.143315512,0.141556447,66775.86045,1.566638542,102.7383379
33.4,7.483654663,0.142216902,67097.33697,1.564023882,103.1012307
33.5,7.335252971,0.142917645,67345.98142,1.563152303,103.4543121
33.6,7.689721289,0.143583859,67630.72861,1.563588122,103.9719511
33.7,7.06753963,0.144327289,67719.27968,1.565766973,104.2836191
33.8,7.354264747,0.14500572,67880.5914,1.566638568,104.6029215
33.9,7.275265286,0.145715177,67943.84023,1.570124822,104.9418362
34,7.568638839,0.1464,68021.5945,1.574046897,105.3058186
34.1,7.168798528,0.147140756,67904.24951,1.583634075,105.7395409
34.2,7.505392878,0.147829451,67615.6804,1.594528676,105.98365
34.3,7.432625099,0.148552589,67364.56296,1.604987453,106.2408326
34.4,7.366090671,0.149278915,67038.5303,1.619368274,106.5841078
34.5,7.359817019,0.150004285,66824.75067,1.62851971,106.7955209
34.6,7.568405672,0.150717023,66648.56937,1.637235385,107.0374498
34.7,7.538857524,0.151451374,66375.68042,1.64987308,107.3567488
34.8,7.563751802,0.152185299,66240.44452,1.657281388,107.5899587
34.9,7.620230761,0.15292047,66027.90252,1.666432831,107.8209879
35,7.525432362,0.1536708,65816.39356,1.675584257,108.0650947
35.1,7.717809869,0.154403155,65658.34111,1.682992584,108.2830472
35.2,7.914758344,0.155138846,65858.75307,1.683864172,108.6622859
35.3,7.450078162,0.155928283,66014.29754,1.683864122,108.9140178
35.4,7.520268791,0.156681181,66190.08573,1.683428348,109.18319
35.5,7.43876645,0.157449363,66505.70918,1.681249427,109.5853108
35.6,7.719247203,0.158193952,66708.44659,1.679942111,109.849035
35.7,8.340515701,0.158916525,66974.87042,1.677327483,110.1378246
35.8,8.474290067,0.159679617,67253.8541,1.67427702,110.4178948
35.9,8.461774198,0.16045758,67666.56145,1.669047628,110.7622587
36,8.628379388,0.161225894,68150.21137,1.662510907,111.1262406
36.1,8.912597511,0.161989156,68918.70412,1.651616371,111.6460575
